Date,Open,High,Low,Close,Adj Close,Volume
2016-05-26,43.470001,43.599998,42.400002,42.759998,42.759998,8512400
2016-05-27,42.830002,43.439999,42.810001,43.119999,43.119999,5470900
2016-05-31,43.250000,43.509998,42.650002,43.459999,43.459999,9315100
2016-06-01,43.459999,43.709999,43.070000,43.509998,43.509998,7047600
2016-06-02,42.770000,43.459999,42.400002,42.450001,42.450001,10103500
2016-06-03,42.220001,42.400002,41.250000,41.570000,41.570000,15958000
2016-06-06,41.540001,41.599998,41.000000,41.279999,41.279999,11538400
2016-06-07,41.349998,42.810001,41.000000,42.099998,42.099998,11445900
2016-06-08,42.200001,42.450001,41.099998,41.849998,41.849998,13861700
2016-06-09,41.750000,42.580002,41.520000,42.400002,42.400002,7618100
2016-06-10,42.060001,42.290001,41.410000,42.040001,42.040001,6787900
2016-06-13,41.590000,41.700001,40.529999,40.570000,40.570000,9946500
2016-06-14,40.410000,40.560001,38.639999,39.110001,39.110001,15065800
2016-06-15,39.369999,39.779999,38.830002,38.889999,38.889999,11044000
2016-06-16,38.369999,38.570000,37.840000,38.020000,38.020000,13086600
2016-06-17,37.939999,38.240002,37.680000,38.009998,38.009998,11157800
2016-06-20,38.430000,38.730000,38.000000,38.090000,38.090000,9921200
2016-06-21,38.669998,39.000000,38.049999,38.669998,38.669998,11997900
2016-06-22,38.570000,39.160000,38.500000,38.549999,38.549999,7029400
2016-06-23,39.000000,39.070000,37.730000,38.310001,38.310001,10956200
2016-06-24,36.090000,37.080002,35.169998,35.180000,35.180000,26090700
2016-06-27,34.840000,34.939999,32.599998,33.360001,33.360001,28380600
2016-06-28,34.270000,34.669998,33.599998,34.669998,34.669998,19678200
2016-06-29,35.400002,36.380001,34.910000,36.240002,36.240002,15059700
2016-06-30,36.259998,36.430000,35.730000,36.430000,36.430000,12413700
2016-07-01,36.410000,37.000000,36.310001,36.770000,36.770000,9408400
2016-07-05,36.000000,36.240002,34.779999,35.619999,35.619999,14239500
2016-07-06,34.959999,35.610001,34.080002,35.580002,35.580002,14540000
2016-07-07,35.540001,36.480000,35.500000,36.369999,36.369999,8775800
2016-07-08,36.900002,37.750000,36.860001,37.369999,37.369999,12621000
2016-07-11,37.669998,38.450001,37.599998,38.119999,38.119999,11994100
2016-07-12,39.200001,40.410000,39.130001,40.209999,40.209999,19533000
2016-07-13,40.500000,40.599998,39.419998,39.560001,39.560001,13885600
2016-07-14,40.330002,41.349998,40.160000,40.980000,40.980000,18543000
2016-07-15,40.459999,40.540001,39.709999,39.980000,39.980000,15192400
2016-07-18,40.169998,40.520000,40.060001,40.099998,40.099998,8285500
2016-07-19,39.880001,40.580002,39.500000,40.529999,40.529999,9297000
2016-07-20,40.689999,41.220001,39.939999,40.209999,40.209999,9541900
2016-07-21,39.110001,39.259998,38.270000,38.520000,38.520000,17399700
2016-07-22,39.070000,39.189999,38.430000,38.959999,38.959999,9579300
2016-07-25,39.169998,39.259998,38.549999,38.959999,38.959999,7160500
2016-07-26,38.970001,39.330002,38.610001,39.029999,39.029999,9038700
2016-07-27,38.880001,38.919998,38.500000,38.540001,38.540001,8671900
2016-07-28,38.500000,39.540001,38.250000,39.360001,39.360001,7354100
2016-07-29,39.369999,39.900002,38.740002,38.750000,38.750000,10468200
2016-08-01,38.919998,39.509998,38.779999,39.480000,39.480000,8965300
2016-08-02,38.820000,38.849998,36.290001,36.389999,36.389999,19993500
2016-08-03,36.380001,36.869999,36.169998,36.480000,36.480000,10994100
2016-08-04,36.520000,36.680000,36.020000,36.540001,36.540001,8825300
2016-08-05,36.980000,37.730000,36.860001,37.669998,37.669998,8097500
2016-08-08,37.459999,38.240002,37.360001,37.439999,37.439999,10029100
2016-08-09,37.750000,38.060001,37.139999,37.150002,37.150002,8392000
2016-08-10,37.000000,37.119999,36.240002,36.480000,36.480000,9604700
2016-08-11,36.580002,37.049999,36.279999,36.700001,36.700001,7537900
2016-08-12,36.680000,36.740002,36.259998,36.349998,36.349998,7700600
2016-08-15,36.349998,37.049999,35.840000,36.919998,36.919998,10784600
2016-08-16,36.810001,37.310001,36.790001,36.939999,36.939999,9253500
2016-08-17,37.029999,37.529999,36.709999,37.509998,37.509998,10427900
2016-08-18,37.369999,37.430000,36.849998,37.070000,37.070000,12103300
2016-08-19,36.810001,36.980000,36.369999,36.770000,36.770000,7579600
2016-08-22,36.529999,36.740002,36.070000,36.610001,36.610001,11186100
2016-08-23,36.779999,37.130001,36.619999,36.689999,36.689999,7588400
2016-08-24,36.630001,37.049999,36.470001,36.770000,36.770000,7548000
2016-08-25,36.639999,36.810001,36.439999,36.470001,36.470001,6540000
2016-08-26,36.509998,36.639999,35.900002,36.090000,36.090000,7882000
2016-08-29,36.270000,36.599998,36.259998,36.549999,36.549999,5674600
2016-08-30,36.549999,37.599998,36.380001,37.160000,37.160000,9950600
2016-08-31,37.320000,37.320000,36.020000,36.750000,36.750000,13838000
2016-09-01,37.000000,37.150002,36.320000,36.820000,36.820000,7127400
2016-09-02,36.669998,37.490002,36.669998,37.169998,37.169998,10201900
2016-09-06,37.230000,37.290001,36.650002,36.820000,36.820000,8041600
2016-09-07,37.450001,39.180000,37.410000,38.900002,38.900002,16662100
2016-09-08,38.860001,39.299999,38.599998,39.290001,39.290001,10542100
2016-09-09,39.090000,39.389999,37.750000,37.750000,37.750000,11696700
2016-09-12,37.240002,38.590000,36.880001,38.439999,38.439999,8572700
2016-09-13,38.200001,38.509998,37.389999,37.529999,37.529999,10203900
2016-09-14,37.430000,37.889999,36.930000,37.119999,37.119999,9468400
2016-09-15,37.090000,37.619999,36.820000,37.290001,37.290001,9159400
2016-09-16,37.020000,37.160000,36.590000,36.770000,36.770000,11257500
2016-09-19,36.910000,37.740002,36.849998,37.570000,37.570000,8768200
2016-09-20,37.599998,38.110001,37.410000,37.630001,37.630001,7551400
2016-09-21,37.790001,38.299999,37.480000,38.049999,38.049999,8529600
2016-09-22,38.160000,38.959999,38.150002,38.500000,38.500000,10917000
2016-09-23,38.180000,38.930000,38.180000,38.779999,38.779999,6841200
2016-09-26,38.520000,38.750000,37.910000,38.040001,38.040001,7854400
2016-09-27,38.000000,39.250000,37.980000,39.209999,39.209999,9596600
2016-09-28,39.299999,40.230000,39.110001,39.230000,39.230000,10552400
2016-09-29,39.060001,39.680000,39.020000,39.029999,39.029999,7181000
2016-09-30,39.150002,39.599998,38.930000,39.360001,39.360001,8889300
2016-10-03,39.250000,40.049999,39.209999,39.980000,39.980000,11629700
2016-10-04,41.250000,41.380001,40.099998,40.150002,40.150002,12479200
2016-10-05,40.160000,40.480000,40.049999,40.320000,40.320000,7408700
2016-10-06,40.259998,40.380001,39.750000,39.939999,39.939999,9184300
2016-10-07,39.869999,39.930000,38.799999,38.950001,38.950001,10707000
2016-10-10,39.209999,39.950001,39.189999,39.770000,39.770000,7994100
2016-10-11,40.250000,40.259998,38.790001,38.939999,38.939999,12166600
2016-10-12,39.009998,39.500000,38.560001,39.270000,39.270000,11127500
2016-10-13,38.529999,40.880001,37.910000,40.009998,40.009998,24274100
2016-10-14,40.450001,40.750000,39.820000,40.040001,40.040001,12133300
2016-10-17,39.740002,40.490002,39.259998,39.349998,39.349998,10535100
2016-10-18,39.389999,40.270000,39.049999,39.459999,39.459999,13433800
2016-10-19,39.549999,40.919998,39.189999,40.900002,40.900002,13814400
2016-10-20,40.820000,41.540001,40.730000,41.459999,41.459999,14613500
2016-10-21,41.080002,41.310001,40.660000,41.169998,41.169998,9050900
