Date,GSPC,ABBV,ABT,CAN,ABDE,ATVI,AYI,MMM,WYNN,DAL,CL
5/26/2016,2090.100098,61.900002,38.889999,118.410004,99.370003,39.099998,255.130005,168.910004,94.620003,42.759998,70.489998
5/27/2016,2099.060059,62.709999,39.299999,118.940002,100.139999,39.34,256.209991,168.889999,95.959999,43.119999,70.589996
5/31/2016,2096.949951,62.93,39.630001,118.970001,99.470001,39.259998,259.040009,168.320007,96.18,43.459999,70.410004
6/1/2016,2099.330078,62.830002,39.5,119.010002,100.040001,38.650002,255.139999,168.690002,96.730003,43.509998,71.199997
6/2/2016,2105.26001,65.089996,39.529999,119.239998,100.169998,38.689999,255.529999,168.039993,99.410004,42.450001,71.419998
6/3/2016,2099.129883,65,39.18,118.900002,98.699997,37.810001,254.690002,168.380005,98.5,41.57,71.599998
6/6/2016,2109.409912,62.82,39.169998,119.599998,99.120003,37.759998,252.050003,170.080002,98.690002,41.279999,71.839996
6/7/2016,2112.129883,63.099998,38.93,119.650002,98.519997,38.130001,258.140015,170.910004,101.110001,42.099998,71.589996
6/8/2016,2119.120117,61.73,38.91,119.32,98.68,38.119999,259.450012,171.419998,101.32,41.849998,72
6/9/2016,2115.47998,60.75,38.869999,119.440002,98.07,38.540001,258.399994,170.130005,100.790001,42.400002,72.339996
6/10/2016,2096.070068,61,38.400002,118.269997,97.089996,37.77,251.589996,168.559998,100.449997,42.040001,72.120003
6/13/2016,2079.060059,59.93,37.860001,117.080002,96.959999,37.630001,251.029999,167.130005,100.150002,40.57,71.669998
6/14/2016,2075.320068,59.900002,37.66,118.089996,96.980003,38.41,247.070007,167.610001,101.540001,39.110001,72.089996
6/15/2016,2071.5,60.400002,37.43,117.449997,97.019997,38.330002,249.470001,167.800003,101.599998,38.889999,71.720001
6/16/2016,2077.98999,60.900002,37.5,118.300003,97.190002,39.029999,247.429993,169.929993,101.199997,38.02,72
6/17/2016,2071.219971,60.009998,37.389999,117.57,95.580002,38.080002,244.580002,168.940002,103.190002,38.009998,71.440002
6/20/2016,2083.25,60.110001,37.75,119.050003,97.989998,38.689999,249.229996,171.229996,100.290001,38.09,71.639999
6/21/2016,2088.899902,59.98,37.73,119.43,99.720001,38.66,250.210007,171.369995,101.809998,38.669998,71.800003
6/22/2016,2085.449951,60.389999,38.740002,119.029999,94.010002,38.32,249.910004,171.229996,100.720001,38.549999,72.25
6/23/2016,2113.320068,61.310001,39.630001,118.910004,96.209999,38.919998,254.889999,174.110001,101.699997,38.310001,72.669998
6/24/2016,2037.410034,59.860001,37.91,111.449997,92.199997,36.98,246.669998,169.119995,92.290001,35.18,70.580002
6/27/2016,2000.540039,58.68,36.950001,109.290001,90.849998,36.150002,232.919998,167.190002,87.690002,33.360001,69.989998
6/28/2016,2036.089966,59.990002,37.560001,110.559998,92.459999,37.18,244.660004,169.589996,88.279999,34.669998,71.129997
6/29/2016,2070.77,61.810001,38.57,111.760002,94.389999,38.02,246.610001,171.520004,91.279999,36.240002,71.860001
6/30/2016,2098.860107,61.91,39.310001,113.290001,95.790001,39.630001,247.960007,175.119995,90.639999,36.43,73.199997
7/1/2016,2102.949951,62.709999,39.540001,113.519997,95.32,39.610001,250.25,175.539993,91.790001,36.77,72.949997
7/5/2016,2088.550049,61.919998,39.439999,113.099998,94.730003,40.150002,246.990005,175.630005,89.099998,35.619999,73.279999
7/6/2016,2099.72998,63.369999,40.830002,113.519997,95.18,40.509998,251.240005,175.160004,89.93,35.580002,73.279999
7/7/2016,2097.899902,63.43,41.360001,112.699997,95.139999,40.389999,253.630005,174.869995,88.959999,36.369999,73.400002
7/8/2016,2129.899902,64.160004,41.889999,115.110001,96.790001,41.290001,264.619995,177.119995,89.75,37.369999,74.25
7/11/2016,2137.159912,64.349998,42.119999,115.459999,97.139999,42.200001,268.019989,178.009995,94.099998,38.119999,74.489998
7/12/2016,2152.139893,65.5,42.470001,116.5,97.540001,42.66,267.790009,179.160004,96.5,40.209999,73.949997
7/13/2016,2152.429932,64.769997,41.970001,116.830002,97.339996,42.110001,261.160004,179.210007,94.879997,39.560001,74.470001
7/14/2016,2163.75,63.619999,42.279999,116.769997,97.699997,41.849998,265.279999,180.899994,92.019997,40.98,74.709999
7/15/2016,2161.73999,63.32,42.099998,115.089996,97.830002,42.200001,265.420013,181.399994,92.220001,39.98,74.720001
7/18/2016,2166.889893,63.560001,42.09,114.139999,97.790001,42.139999,263.690002,181.110001,96.660004,40.099998,74.5
7/19/2016,2163.780029,63.32,41.799999,113.370003,97.790001,41.52,266.700012,181.240005,95.169998,40.529999,74.559998
